"address","lat","lon","id"
"900 MN-3, Northfield, MN 55057, USA",44.4504742,-93.1692431,"EiM5MDAgTU4tMywgTm9ydGhmaWVsZCwgTU4gNTUwNTcsIFVTQSIbEhkKFAoSCf_HMWTdU_aHESX6P6g1zN6UEIQH"
"511 Morse St N, Norwood Young America, MN 55368, USA",44.7728721,-93.9246993,"ChIJe2jqZ-jv9YcR3m-tpHFPmZo"
"1520 W Lincoln Ave, Olivia, MN 56277, USA",44.7768901,-95.0025844,"ChIJLaG3YktS9YcRuflMpWjjTZ8"
"38664 US-169, Onamia, MN 56359, USA",46.1074941,-93.6441239,"ChIJ019b6H3hs1IRKmB2jYql6o8"
"833 US-12, Ortonville, MN 56278, USA",45.2990349,-96.4405063,"EiQ4MzMgVVMtMTIsIE9ydG9udmlsbGUsIE1OIDU2Mjc4LCBVU0EiGxIZChQKEglLXFaCj3zLUhE7u-Md5mY82hDBBg"
"670 W Bridge St, Owatonna, MN 55060, USA",44.0848763,-93.2420606,"ChIJzUb_lcvn9ocRnvA3a6PGfIg"
"809 1st St E, Park Rapids, MN 56470, USA",46.9223385,-95.0459464,"ChIJsfXepe64t1IRehNNC1fKk_Q"
"823 Minnesota St, Paynesville, MN 56362, USA",45.3774822,-94.7275564,"ChIJec-zYtkNtVIR2TNV1ygO0tw"
"1121 S Broadway, Pelican Rapids, MN 56572, USA",46.5580957,-96.082768,"ChIJr7kupWIHyVIR6gXg3U1ykiw"
"30799 Patriot Avenue, Pequot Lakes, MN 56472, USA",46.5985464,-94.3133569,"ChIJ0Wle8lfdtlIRLUqlpnEBSa0"
"802 3rd Ave SE, Perham, MN 56573, USA",46.5853942,-95.5753268,"ChIJH2WdY0bOyVIR8w70UGimHHw"
"1000 Main St S, Pine City, MN 55063, USA",45.8171164,-92.9699451,"ChIJnzu8TO9GslIRHVXrkoDTE-g"
"306 Front St, Pine River, MN 56474, USA",46.716315,-94.400944,"ChIJbXoph5bhtlIRQnzDaCvse3M"
"301 8th Ave SE, Pipestone, MN 56164, USA",43.9981407,-96.3072088,"ChIJA3Fl_Qnci4cRbzUUM9LmIew"
"800 N Wabasha St, Plainview, MN 55964, USA",44.1722562,-92.1659292,"ChIJofjmFxXH-YcRIXsbt4P_6HI"
"4000 Annapolis Ln N, Plymouth, MN 55447, USA",45.0286321,-93.4553179,"ChIJ_624lo5Js1IRfKAgdDj7u6c"
"207 S Rum River Dr, Princeton, MN 55371, USA",45.567635,-93.5804336,"ChIJoeIpxd6ds1IRlP8h5QPcMxI"
"4393 Maplewood St SE, Prior Lake, MN 55372, USA",44.7061235,-93.4311034,"ChIJZSfBOe0V9ocRgoERpWWdzmk"
"815 Main St, Red Wing, MN 55066, USA",44.5636047,-92.5398546,"ChIJcwq4s9SO94cRJrtOFH07AN4"
"1136 E Bridge St, Redwood Falls, MN 56283, USA",44.5409807,-95.1009121,"ChIJi85j8gfLiocRb4dcvdlReIk"
"7533 Lyndale Ave S, Minneapolis, MN 55423, USA",44.8660724,-93.2879732,"ChIJPe4khcUl9ocR_uK_WQ92Jyo"
"16 E 66th St, Richfield, MN 55423, USA",44.8836866,-93.2770872,"ChIJQbUpmAwm9ocRQCHe4sfzXO0"
"2800 W 66th St, Minneapolis, MN 55423, USA",44.8838806,-93.3153248,"ChIJQ_9-Dpkm9ocR9BsVXOm_Nu8"
"4017 W Broadway Ave, Robbinsdale, MN 55422, USA",45.0279416,-93.3356005,"ChIJvVnjUFgxs1IRZSVWG54SHt4"
"538 N Broadway Ave, Rochester, MN 55906, USA",44.0293935,-92.4627519,"ChIJnYI3qn9f94cRaaJ3XcMMrgQ"
"320 12th St SE, Rochester, MN 55904, USA",44.0068253,-92.457691,"ChIJuXXMy-Ph-YcRbFFsMwri9FI"
"4140 E Frontage Rd, Rochester, MN 55901, USA",44.0667913,-92.4977299,"ChIJ77rGBtVf94cRWqsoQIp5TWc"
"52 US-14, Rochester, MN 55902, USA",44.0041202,-92.4785119,"ChIJsXNJWllf94cR-sFHbrMBFeg"
"101 1st Ave SW #9, Rochester, MN 55902, USA",44.0221907,-92.4649735,"EisxMDEgMXN0IEF2ZSBTVyAjOSwgUm9jaGVzdGVyLCBNTiA1NTkwMiwgVVNBIh0aGwoWChQKEgnBQTysfF_3hxF1_VfFrVdYYRIBOQ"
"13560 Rogers Dr, Rogers, MN 55374, USA",45.2006557,-93.5496129,"ChIJ-2App8lDs1IR1Dp3_YzJ1hY"
